AS1.A1ModJulian,AS1.Hellas_Planitia_GS.X,AS1.Valles_Marineris_GS.X,AS1.Schiaparelli_Crater_GS.X,AS1.Mawrth_Vallis_GS.X,AS1.Arcadia_Planitia_GS.X,AS1.Hellas_Planitia_GS.Y,AS1.Hellas_Planitia_GS.Z,AS1.Valles_Marineris_GS.Y,AS1.Valles_Marineris_GS.Z,AS1.Schiaparelli_Crater_GS.Y,AS1.Schiaparelli_Crater_GS.Z,AS1.Mawrth_Vallis_GS.Y,AS1.Mawrth_Vallis_GS.Z,AS1.Arcadia_Planitia_GS.Y,AS1.Arcadia_Planitia_GS.Z
21545.10554,5493.534107,2768.6466,943.1190657,-7690.700271,-7690.700271,18593.60733,-9315.153906,-16788.08634,-14407.79919,4477.376978,-23139.17893,-7884.452422,-20415.40252,-7884.452422,-20415.40252
21545.11393,5505.400431,2766.10805,943.4545855,-7690.707634,-7690.707634,18593.14064,-9328.193319,-16802.70455,-14398.26411,4462.874673,-23149.2101,-7902.085993,-20415.06953,-7902.085993,-20415.06953
21545.12233,5516.962833,2763.767026,943.8081722,-7690.972944,-7690.972944,18593.31927,-9340.895313,-16817.28651,-14389.49214,4449.119918,-23159.49326,-7919.259427,-20415.32339,-7919.259427,-20415.32339
21545.13074,5528.189968,2761.63068,944.1790325,-7691.49704,-7691.49704,18594.14656,-9353.225427,-16831.79476,-14381.51019,4436.152279,-23170.00361,-7935.926115,-20416.16692,-7935.926115,-20416.16692
21545.13917,5539.05046,2759.705812,944.5662987,-7692.280067,-7692.280067,18595.62417,-9365.149176,-16846.19085,-14374.34381,4424.010349,-23180.71496,-7952.039421,-20417.60136,-7952.039421,-20417.60136
21545.14761,5549.513637,2757.998696,944.9690462,-7693.32144,-7693.32144,18597.7519,-9376.632862,-16860.43625,-14368.01652,4412.73079,-23191.60025,-7967.553784,-20419.62632,-7967.553784,-20419.62632
21545.15606,5559.549351,2756.515076,945.3862812,-7694.619769,-7694.619769,18600.52758,-9387.643378,-16874.49203,-14362.54978,4402.348447,-23202.63132,-7982.42445,-20422.23957,-7982.42445,-20422.23957
21545.16452,5569.12814,2755.260113,945.8169397,-7696.17281,-7696.17281,18603.94692,-9398.148376,-16888.31898,-14357.96279,4392.896086,-23213.77884,-7996.60771,-20425.43694,-7996.60771,-20425.43694
21545.173,5578.22409,2754.23804,946.2600234,-7697.978004,-7697.978004,18608.00466,-9408.119421,-16901.88185,-14354.27125,4384.401663,-23225.01592,-8010.065144,-20429.21347,-8010.065144,-20429.21347
21545.18149,5586.809144,2753.452844,946.7143317,-7700.03142,-7700.03142,18612.69233,-9417.52574,-16915.14094,-14351.48985,4376.893758,-23236.3111,-8022.755191,-20433.56115,-8022.755191,-20433.56115
21545.18999,5594.858232,2752.907623,947.1786958,-7702.328639,-7702.328639,18618.00008,-9426.339847,-16928.05959,-14349.62985,4370.396588,-23247.63451,-8034.640746,-20438.47083,-8034.640746,-20438.47083
21545.1985,5602.345803,2752.604833,947.6517839,-7704.8638,-7704.8638,18623.91457,-9434.533755,-16940.59868,-14348.70003,4364.932848,-23258.95303,-8045.684038,-20443.9301,-8045.684038,-20443.9301
21545.20702,5609.251956,2752.546028,948.1324846,-7707.631646,-7707.631646,18630.42369,-9442.085674,-16952.72681,-14348.70583,4360.519203,-23270.23947,-8055.855675,-20449.92776,-8055.855675,-20449.92776
21545.21555,5615.553631,2752.732119,948.6193316,-7710.624347,-7710.624347,18637.50916,-9448.970378,-16964.40534,-14349.65004,4357.172435,-23281.45893,-8065.121654,-20456.44693,-8065.121654,-20456.44693
21545.22408,5621.232552,2753.163159,949.1110263,-7713.8344,-7713.8344,18645.1533,-9455.167896,-16975.60193,-14351.53229,4354.903947,-23292.58118,-8073.45507,-20463.47132,-8073.45507,-20463.47132
21545.23263,5626.271716,2753.838495,949.6062184,-7717.253468,-7717.253468,18653.33634,-9460.65967,-16986.28473,-14354.34947,4353.722366,-23303.57543,-8080.830943,-20470.98273,-8080.830943,-20470.98273
21545.24117,5630.655937,2754.756628,950.1035175,-7720.87231,-7720.87231,18662.03619,-9465.429145,-16996.42294,-14358.09521,4353.632787,-23314.41062,-8087.227016,-20478.96088,-8087.227016,-20478.96088
21545.24973,5634.371075,2755.915052,950.6014037,-7724.680177,-7724.680177,18671.22705,-9469.460944,-17005.98505,-14362.75927,4354.636817,-23325.05362,-8092.622645,-20487.38209,-8092.622645,-20487.38209
21545.25828,5637.406454,2757.310611,951.0984743,-7728.666487,-7728.666487,18680.88336,-9472.743488,-17014.94407,-14368.32895,4356.732079,-23335.47455,-8097.002319,-20496.22295,-8097.002319,-20496.22295
21545.26683,5639.753158,2758.939206,951.5932626,-7732.819564,-7732.819564,18690.97682,-9475.267147,-17023.27372,-14374.78793,4359.912446,-23345.64285,-8100.353184,-20505.45753,-8100.353184,-20505.45753
21545.27539,5641.404779,2760.796111,952.0843545,-7737.12755,-7737.12755,18701.47858,-9477.025053,-17030.95057,-14382.11753,4364.168457,-23355.52972,-8102.666118,-20515.05944,-8102.666118,-20515.05944
21545.28394,5642.356867,2762.875317,952.5702176,-7741.576907,-7741.576907,18712.35558,-9478.012507,-17037.9514,-14390.29408,4369.485816,-23365.10471,-8103.934962,-20524.99845,-8103.934962,-20524.99845
21545.29249,5642.607884,2765.170855,953.0495362,-7746.155387,-7746.155387,18723.57783,-9478.227995,-17044.25829,-14399.29419,4375.848537,-23374.34236,-8104.157842,-20535.24716,-8104.157842,-20535.24716
21545.30104,5642.158235,2767.675277,953.5208356,-7750.848667,-7750.848667,18735.11014,-9477.672161,-17049.85295,-14409.08873,4383.235246,-23383.21478,-8103.33584,-20545.77346,-8103.33584,-20545.77346
21545.30958,5641.010684,2770.381028,953.9827885,-7755.643206,-7755.643206,18746.91917,-9476.348234,-17054.72105,-14419.64825,4391.622818,-23391.6976,-8101.473513,-20556.5469,-8101.473513,-20556.5469
21545.31811,5639.170198,2773.279834,954.4340814,-7760.524968,-7760.524968,18758.97027,-9474.261865,-17058.85031,-14430.94051,4400.984716,-23399.76731,-8098.578712,-20567.53588,-8098.578712,-20567.53588
21545.32664,5636.644378,2776.362201,954.8733436,-7765.478642,-7765.478642,18771.22554,-9471.421616,-17062.23004,-14442.92863,4411.289329,-23407.40017,-8094.663239,-20578.70587,-8094.663239,-20578.70587
21545.33515,5633.442468,2779.618904,955.2993768,-7770.490121,-7770.490121,18783.65,-9467.837837,-17064.85314,-14455.5768,4422.504794,-23414.57615,-8089.741298,-20590.02499,-8089.741298,-20590.02499
21545.34366,5629.575638,2783.040177,955.7110117,-7775.545046,-7775.545046,18796.20795,-9463.522997,-17066.71453,-14468.84716,4434.596522,-23421.27638,-8083.829963,-20601.46073,-8083.829963,-20601.46073
21545.35215,5625.058049,2786.614951,956.1070314,-7780.627765,-7780.627765,18808.86041,-9458.492866,-17067.81116,-14482.69685,4447.524389,-23427.48195,-8076.950794,-20612.97761,-8076.950794,-20612.97761
21545.36064,5619.90407,2790.333185,956.4864421,-7785.724707,-7785.724707,18821.57351,-9452.76341,-17068.14293,-14497.08704,4461.251055,-23433.17823,-8069.125584,-20624.54482,-8069.125584,-20624.54482
21545.36911,5614.132453,2794.182577,956.8481083,-7790.81972,-7790.81972,18834.30684,-9446.355448,-17067.71177,-14511.97018,4475.730056,-23438.34922,-8060.382733,-20636.12561,-8060.382733,-20636.12561
21545.37757,5607.758569,2798.153887,957.1912698,-7795.901214,-7795.901214,18847.03136,-9439.28602,-17066.52143,-14527.31059,4490.925711,-23442.98504,-8050.745458,-20647.69358,-8050.745458,-20647.69358
21545.38601,5600.80456,2802.234208,957.5149141,-7800.953261,-7800.953261,18859.7071,-9431.579659,-17064.57828,-14543.05847,4506.787754,-23447.073,-8040.24718,-20659.21242,-8040.24718,-20659.21242
21545.39444,5593.291551,2806.412042,957.8182393,-7805.962261,-7805.962261,18872.29983,-9423.259753,-17061.89054,-14559.16948,4523.270539,-23450.60411,-8028.919733,-20670.65103,-8028.919733,-20670.65103
21545.40286,5585.241715,2810.675857,958.1005128,-7810.914977,-7810.914977,18884.77619,-9414.350828,-17058.46815,-14575.5992,4540.327685,-23453.57102,-8016.796492,-20681.97914,-8016.796492,-20681.97914
21545.41127,5576.680572,2815.012918,958.3609996,-7815.797217,-7815.797217,18897.10034,-9404.881105,-17054.32394,-14592.29857,4557.907323,-23455.96728,-8003.915838,-20693.16422,-8003.915838,-20693.16422
21545.41966,5567.63017,2819.412738,958.5991696,-7820.597727,-7820.597727,18909.24379,-9394.874946,-17049.47032,-14609.22726,4575.966108,-23457.78935,-7990.310895,-20704.18044,-7990.310895,-20704.18044
21545.42804,5558.118311,2823.862419,958.81442,-7825.302944,-7825.302944,18921.17216,-9384.363065,-17043.92375,-14626.33564,4594.450307,-23459.03395,-7976.023409,-20714.99661,-7976.023409,-20714.99661
21545.43641,5548.16959,2828.35102,959.0063124,-7829.901784,-7829.901784,18932.85726,-9373.372618,-17037.69999,-14643.58168,4613.313713,-23459.70002,-7961.090283,-20725.58722,-7961.090283,-20725.58722
21545.44477,5537.811615,2832.86658,959.1744198,-7834.382424,-7834.382424,18944.269,-9361.934082,-17030.81754,-14660.91941,4632.505366,-23459.78756,-7945.552917,-20735.92499,-7945.552917,-20735.92499
21545.45311,5527.072029,2837.397501,959.3183902,-7838.733764,-7838.733764,18955.37903,-9350.07796,-17023.2959,-14678.30432,4651.975316,-23459.29805,-7929.452739,-20745.98429,-7929.452739,-20745.98429
21545.46145,5515.979453,2841.932127,959.4379311,-7842.944998,-7842.944998,18966.15972,-9337.835823,-17015.15615,-14695.69167,4671.672845,-23458.23434,-7912.832619,-20755.74008,-7912.832619,-20755.74008
21545.46978,5504.562709,2846.459057,959.532816,-7847.005898,-7847.005898,18976.58482,-9325.239457,-17006.42038,-14713.03775,4691.547834,-23456.60064,-7895.735708,-20765.16865,-7895.735708,-20765.16865
21545.4781,5492.849721,2850.967538,959.6028838,-7850.90712,-7850.90712,18986.63031,-9312.31965,-16997.11073,-14730.30133,4711.552552,-23454.40209,-7878.203795,-20774.24828,-7878.203795,-20774.24828
21545.48641,5480.870868,2855.446151,959.6480161,-7854.63905,-7854.63905,18996.27137,-9299.109887,-16987.252,-14747.43868,4731.635871,-23451.64542,-7860.282319,-20782.95658,-7860.282319,-20782.95658
21545.49472,5468.655951,2859.884001,959.6681585,-7858.192851,-7858.192851,19005.48517,-9285.64301,-16976.86932,-14764.40807,4751.748503,-23448.33837,-7842.01584,-20791.2729,-7842.01584,-20791.2729
21545.50302,5456.235667,2864.270151,959.663312,-7861.559978,-7861.559978,19014.24951,-9271.952841,-16965.98929,-14781.16768,4771.840493,-23444.49003,-7823.450239,-20799.17725,-7823.450239,-20799.17725
21545.51132,5443.637977,2868.594877,959.6335259,-7864.733107,-7864.733107,19022.54531,-9258.070178,-16954.63673,-14797.6803,4791.867005,-23440.10958,-7804.627289,-20806.65242,-7804.627289,-20806.65242
21545.51354,5440.233488,2869.742825,959.6213087,-7865.550053,-7865.550053,19024.6877,-9254.318938,-16951.51557,-14802.06125,4797.220031,-23438.8458,-7799.541753,-20808.5817,-7799.541753,-20808.5817
